,c,h,l,o,s,t,v,Date
0,104.53,104.81,102.28,104.71,ok,1582209000,271500,2020-02-20 08:30:00
1,100.4,104.27,100.01,104.07,ok,1582295400,447700,2020-02-21 08:30:00
2,98.0,100.14,95.18,95.99,ok,1582554600,613100,2020-02-24 08:30:00
3,94.99,99.19,94.3,98.89,ok,1582641000,754400,2020-02-25 08:30:00
4,95.75,98.35,94.86,95.76,ok,1582727400,423500,2020-02-26 08:30:00
5,90.42,94.94,89.69,92.49,ok,1582813800,522100,2020-02-27 08:30:00
6,88.68,89.89,86.34,86.48,ok,1582900200,742300,2020-02-28 08:30:00
7,91.79,91.87,88.03,89.9,ok,1583159400,476600,2020-03-02 08:30:00
8,88.14,94.27,86.46,91.98,ok,1583245800,396700,2020-03-03 08:30:00
9,92.06,92.12,88.12,90.09,ok,1583332200,304900,2020-03-04 08:30:00
10,90.97,93.55,90.15,91.99,ok,1583418600,515800,2020-03-05 08:30:00
11,87.5,88.97,83.67,87.95,ok,1583505000,585200,2020-03-06 08:30:00
12,80.2,84.79,79.86,80.79,ok,1583760600,453800,2020-03-09 08:30:00
13,88.71,88.81,80.4,83.38,ok,1583847000,739300,2020-03-10 08:30:00
14,83.81,87.17,82.87,85.6,ok,1583933400,557900,2020-03-11 08:30:00
15,69.45,83.0,69.41,78.48,ok,1584019800,736700,2020-03-12 08:30:00
16,82.71,82.72,73.51,75.21,ok,1584106200,1042400,2020-03-13 08:30:00
17,74.91,86.28,73.34,74.05,ok,1584365400,977500,2020-03-16 08:30:00
18,82.35,83.57,73.94,76.61,ok,1584451800,819300,2020-03-17 08:30:00
19,68.75,81.45,65.09,75.79,ok,1584538200,861200,2020-03-18 08:30:00
20,74.46,77.56,68.19,68.61,ok,1584624600,556800,2020-03-19 08:30:00
21,70.07,79.06,69.71,74.2,ok,1584711000,581100,2020-03-20 08:30:00
22,74.64,76.41,69.54,73.26,ok,1584970200,518500,2020-03-23 08:30:00
23,82.49,83.02,77.41,79.89,ok,1585056600,561900,2020-03-24 08:30:00
24,78.87,84.85,77.67,82.17,ok,1585143000,396700,2020-03-25 08:30:00
25,87.8,87.96,79.32,80.81,ok,1585229400,443800,2020-03-26 08:30:00
26,81.08,85.35,81.01,83.1,ok,1585315800,418700,2020-03-27 08:30:00
27,85.02,85.55,81.36,82.48,ok,1585575000,373200,2020-03-30 08:30:00
28,85.41,87.75,84.11,84.43,ok,1585661400,424200,2020-03-31 08:30:00
29,77.62,83.21,76.64,81.87,ok,1585747800,349200,2020-04-01 08:30:00
30,80.55,81.04,76.68,76.68,ok,1585834200,328700,2020-04-02 08:30:00
31,78.08,81.81,77.33,79.55,ok,1585920600,265700,2020-04-03 08:30:00
32,87.47,87.78,81.42,81.42,ok,1586179800,476900,2020-04-06 08:30:00
33,85.4,91.19,84.35,90.1,ok,1586266200,295600,2020-04-07 08:30:00
34,89.12,89.74,84.8,88.25,ok,1586352600,299100,2020-04-08 08:30:00
35,88.97,92.7,87.23,90.55,ok,1586439000,212600,2020-04-09 08:30:00
36,88.01,89.31,86.07,88.27,ok,1586784600,209700,2020-04-13 08:30:00
37,90.61,90.88,88.39,90.01,ok,1586871000,245800,2020-04-14 08:30:00
38,86.72,88.2,85.73,88.2,ok,1586957400,351900,2020-04-15 08:30:00
39,89.14,89.94,84.87,88.42,ok,1587043800,261200,2020-04-16 08:30:00
40,91.5,92.9,90.05,91.22,ok,1587130200,205500,2020-04-17 08:30:00
41,88.42,90.56,88.12,89.56,ok,1587389400,293500,2020-04-20 08:30:00
42,83.41,87.4,83.33,86.73,ok,1587475800,395600,2020-04-21 08:30:00
43,88.87,89.71,84.48,86.52,ok,1587562200,277200,2020-04-22 08:30:00
44,89.1,90.64,88.09,88.82,ok,1587648600,229800,2020-04-23 08:30:00
45,91.22,91.7,88.28,88.77,ok,1587735000,224600,2020-04-24 08:30:00
46,94.78,95.72,92.48,92.96,ok,1587994200,221800,2020-04-27 08:30:00
47,95.35,97.67,95.35,96.91,ok,1588080600,418500,2020-04-28 08:30:00
48,102.66,104.49,98.48,101.07,ok,1588167000,517100,2020-04-29 08:30:00
49,97.22,102.49,96.96,101.19,ok,1588253400,420900,2020-04-30 08:30:00
50,91.76,94.4,91.06,94.07,ok,1588339800,304000,2020-05-01 08:30:00
51,89.91,91.76,88.74,90.59,ok,1588599000,434700,2020-05-04 08:30:00
52,96.98,98.11,91.58,91.58,ok,1588685400,586600,2020-05-05 08:30:00
53,96.19,98.81,95.92,97.63,ok,1588771800,297200,2020-05-06 08:30:00
54,96.15,98.8,95.59,98.12,ok,1588858200,191000,2020-05-07 08:30:00
55,100.24,100.37,97.23,97.91,ok,1588944600,204700,2020-05-08 08:30:00
56,98.06,99.79,97.31,98.06,ok,1589203800,254600,2020-05-11 08:30:00
57,94.5,99.57,94.43,98.34,ok,1589290200,248800,2020-05-12 08:30:00
58,91.4,95.44,90.31,94.4,ok,1589376600,308500,2020-05-13 08:30:00
59,93.0,93.07,89.28,90.15,ok,1589463000,400500,2020-05-14 08:30:00
60,90.53,91.99,89.36,91.51,ok,1589549400,529900,2020-05-15 08:30:00
61,97.77,98.47,91.09,91.54,ok,1589808600,320900,2020-05-18 08:30:00
