,c,h,l,o,s,t,v,Date
0,98.08,99.06,93.74,94.86,ok,1559520000,1316400,2019-06-02 19:00:00
1,95.45,102.8,94.89,98.47,ok,1560124800,1208600,2019-06-09 19:00:00
2,96.72,101.81,95.14,95.38,ok,1560729600,1225000,2019-06-16 19:00:00
3,103.4,104.02,95.37,97.19,ok,1561334400,1474200,2019-06-23 19:00:00
4,103.55,107.9,102.33,104.43,ok,1561939200,799700,2019-06-30 19:00:00
5,106.09,106.44,100.77,103.23,ok,1562544000,1301900,2019-07-07 19:00:00
6,104.02,106.94,101.06,106.46,ok,1563148800,1502700,2019-07-14 19:00:00
7,114.39,114.87,104.66,104.66,ok,1563753600,2535800,2019-07-21 19:00:00
8,106.62,115.29,106.12,114.5,ok,1564358400,1468600,2019-07-28 19:00:00
9,105.33,108.79,100.42,103.11,ok,1564963200,1743700,2019-08-04 19:00:00
10,107.79,108.53,102.32,104.71,ok,1565568000,1086000,2019-08-11 19:00:00
11,104.52,111.01,104.19,110.19,ok,1566172800,1302600,2019-08-18 19:00:00
12,109.0,110.77,103.05,106.9,ok,1566777600,888400,2019-08-25 19:00:00
13,111.02,113.67,106.45,107.6,ok,1567382400,796600,2019-09-01 19:00:00
14,114.38,115.14,108.34,111.72,ok,1567987200,1318200,2019-09-08 19:00:00
15,111.86,114.8,108.35,112.94,ok,1568592000,1305200,2019-09-15 19:00:00
16,110.37,115.16,110.02,110.76,ok,1569196800,1372100,2019-09-22 19:00:00
17,110.11,114.75,103.08,110.9,ok,1569801600,1551500,2019-09-29 19:00:00
18,110.19,111.86,103.49,109.47,ok,1570406400,1426500,2019-10-06 19:00:00
19,108.65,112.53,106.85,109.8,ok,1571011200,951700,2019-10-13 19:00:00
20,107.87,114.0,106.75,110.27,ok,1571616000,1905700,2019-10-20 19:00:00
21,109.81,112.54,105.93,108.69,ok,1572220800,1370000,2019-10-27 19:00:00
22,109.0,113.83,107.68,110.92,ok,1572825600,1192900,2019-11-03 18:00:00
23,109.46,110.39,106.74,108.12,ok,1573430400,1143300,2019-11-10 18:00:00
24,103.53,109.47,101.93,108.84,ok,1574035200,1540800,2019-11-17 18:00:00
25,105.93,109.9,104.41,104.53,ok,1574640000,737900,2019-11-24 18:00:00
26,110.37,111.19,102.31,106.51,ok,1575244800,1240300,2019-12-01 18:00:00
27,112.93,114.65,108.29,109.97,ok,1575849600,947900,2019-12-08 18:00:00
28,115.6,116.19,111.7,114.06,ok,1576454400,1499300,2019-12-15 18:00:00
29,116.52,117.39,114.46,116.13,ok,1577059200,437300,2019-12-22 18:00:00
30,116.09,118.45,114.33,116.3,ok,1577664000,605200,2019-12-29 18:00:00
31,118.7,118.89,112.99,114.37,ok,1578268800,976900,2020-01-05 18:00:00
32,119.45,120.63,116.92,119.27,ok,1578873600,1000200,2020-01-12 18:00:00
33,119.52,122.9,118.01,118.6,ok,1579478400,988300,2020-01-19 18:00:00
34,98.31,119.54,98.19,116.25,ok,1580083200,3583800,2020-01-26 18:00:00
35,100.02,108.05,98.88,98.91,ok,1580688000,1412500,2020-02-02 18:00:00
36,104.2,105.14,99.24,99.24,ok,1581292800,1272000,2020-02-09 18:00:00
37,100.4,106.15,100.01,103.1,ok,1581897600,1414100,2020-02-16 18:00:00
38,88.68,100.14,86.34,95.99,ok,1582502400,3055400,2020-02-23 18:00:00
39,87.5,94.27,83.67,89.9,ok,1583107200,2279200,2020-03-01 18:00:00
40,82.71,88.81,69.41,80.79,ok,1583712000,3530100,2020-03-08 19:00:00
41,70.07,86.28,65.09,74.05,ok,1584316800,3795900,2020-03-15 19:00:00
42,81.08,87.96,69.54,73.26,ok,1584921600,2339600,2020-03-22 19:00:00
43,78.08,87.75,76.64,82.48,ok,1585526400,1741000,2020-03-29 19:00:00
44,88.97,92.7,81.42,81.42,ok,1586131200,1284200,2020-04-05 19:00:00
45,91.5,92.9,84.87,88.27,ok,1586736000,1274100,2020-04-12 19:00:00
46,91.22,91.7,83.33,89.56,ok,1587340800,1420700,2020-04-19 19:00:00
47,91.76,104.49,91.06,92.96,ok,1587945600,1882300,2020-04-26 19:00:00
48,100.24,100.37,88.74,90.59,ok,1588550400,1714200,2020-05-03 19:00:00
49,90.53,99.79,89.28,98.06,ok,1589155200,1742300,2020-05-10 19:00:00
50,94.29,101.23,91.09,91.54,ok,1589760000,1504400,2020-05-17 19:00:00
51,93.66,98.54,89.67,96.34,ok,1590364800,4059400,2020-05-24 19:00:00
