,c,h,l,o,s,t,v,Date,price,enter,target,exit,profit,bank,stock,stock_val,value,tick,gobble,gain,stock_gain
0,104.53,104.81,102.28,104.71,ok,1582209000,271500,2020-02-20 08:30:00,104.71,1047.1,107.8513,,0,48952.9,10,1047.1,50000.0,0,10,1.0,1.0
1,100.4,104.27,100.01,104.07,ok,1582295400,447700,2020-02-21 08:30:00,104.07,1040.6999999999998,107.1921,,0,47912.200000000004,20,2081.3999999999996,49993.600000000006,1,10,0.9998720000000001,0.9938878808136759
2,98.0,100.14,95.18,95.99,ok,1582554600,613100,2020-02-24 08:30:00,95.99,959.9,98.8697,988.9,0,46952.3,30,2879.7,49832.0,2,10,0.99664,0.9167223760863337
3,94.99,99.19,94.3,98.89,ok,1582641000,754400,2020-02-25 08:30:00,98.89,988.9,101.8567,,29.0,46952.3,30,2966.7,49919.0,3,10,0.99838,0.944417916149365
4,95.75,98.35,94.86,95.76,ok,1582727400,423500,2020-02-26 08:30:00,95.76,957.6,98.6328,1010.6999999999999,0,45994.700000000004,40,3830.4,49825.100000000006,4,10,0.9965020000000001,0.9145258332537486
5,90.42,94.94,89.69,92.49,ok,1582813800,522100,2020-02-27 08:30:00,92.49,1017.39,95.26469999999999,1066.01,0,44977.310000000005,51,4716.99,49694.3,5,11,0.993886,0.8832967242861236
6,88.68,89.89,86.34,86.48,ok,1582900200,742300,2020-02-28 08:30:00,86.48,1037.76,89.07440000000001,1078.8000000000002,0,43939.55,63,5448.240000000001,49387.79,6,12,0.9877558000000001,0.8259001050520486
7,91.79,91.87,88.03,89.9,ok,1583159400,476600,2020-03-02 08:30:00,89.9,988.9000000000001,92.59700000000001,1022.56,41.04000000000019,44029.450000000004,62,5573.8,49603.25000000001,7,11,0.9920650000000002,0.8585617419539682
8,88.14,94.27,86.46,91.98,ok,1583245800,396700,2020-03-03 08:30:00,91.98,1011.7800000000001,94.7394,1066.01,0,43017.670000000006,73,6714.54,49732.21000000001,8,11,0.9946442000000001,0.8784261293095216
9,92.06,92.12,88.12,90.09,ok,1583332200,304900,2020-03-04 08:30:00,90.09,990.99,92.79270000000001,1022.56,0,42026.68000000001,84,7567.56,49594.240000000005,9,11,0.9918848000000001,0.8603762773374082
10,90.97,93.55,90.15,91.99,ok,1583418600,515800,2020-03-05 08:30:00,91.99,1011.89,94.7497,1066.01,0,41014.79000000001,95,8739.05,49753.84000000001,10,11,0.9950768000000002,0.8785216311718078
11,87.5,88.97,83.67,87.95,ok,1583505000,585200,2020-03-06 08:30:00,87.95,967.45,90.58850000000001,1003.42,0,40047.34000000001,106,9322.7,49370.04000000001,11,11,0.9874008000000002,0.8399388788081369
12,80.2,84.79,79.86,80.79,ok,1583760600,453800,2020-03-09 08:30:00,80.79,969.48,83.2137,1000.56,0,39077.86000000001,118,9533.220000000001,48611.08000000001,12,12,0.9722216000000001,0.7715595454111356
13,88.71,88.81,80.4,83.38,ok,1583847000,739300,2020-03-10 08:30:00,83.38,1000.56,85.8814,1081.1999999999998,31.079999999999927,39077.86000000001,118,9838.84,48916.70000000001,13,12,0.9783340000000003,0.796294527743291
14,83.81,87.17,82.87,85.6,ok,1583933400,557900,2020-03-11 08:30:00,85.6,1027.1999999999998,88.16799999999999,1081.1999999999998,0,38050.66000000001,130,11128.0,49178.66000000001,14,12,0.9835732000000003,0.8174959411708528
